日期,湖北,廣東,北京,上海,浙江,天津,重慶,江西,山東,河南,湖南,四川,雲南,山西,福建,遼寧,海南,安徽,貴州,廣西,寧夏,河北,江蘇,吉林,黑龍江,陝西,新疆,甘肅,內蒙古,青海,西藏,台灣
1/26,371,48,17,13,24,4,35,12,24,45,31,25,8,4,27,5,9,10,2,13,3,5,16,2,6,13,1,7,4,3,0,1
1/27,1291,42,12,13,45,9,22,24,24,40,43,21,7,7,17,5,7,36,2,5,4,15,23,2,9,11,5,5,2,2,0,1
1/28,840,53,11,14,123,1,15,37,34,38,78,18,25,7,9,9,5,46,0,7,1,15,29,1,7,10,3,5,2,0,0,2
1/29,1032,70,20,21,132,3,18,53,24,72,56,34,19,8,19,5,3,48,3,20,5,17,30,5,6,7,1,2,3,0,1,1
1/30,1220,82,21,27,109,3,41,77,33,74,55,35,10,4,19,4,3,37,3,9,4,17,39,0,16,23,3,3,2,2,0,0
1/31,1347,127,24,25,62,2,32,47,24,70,57,30,11,8,24,15,8,60,14,13,5,14,34,3,21,15,1,6,3,1,0,1
2/1,1921,84,27,24,62,9,24,46,23,71,74,24,8,9,15,4,6,43,9,11,2,8,34,6,15,15,3,5,4,0,0,1
2/2,2103,79,29,16,63,7,38,59,21,73,58,23,10,10,20,6,7,68,8,16,3,9,35,8,23,12,3,11,7,4,0,0
2/3,2345,114,16,15,105,12,37,85,24,109,72,28,8,8,15,4,8,72,10,12,3,13,37,11,37,14,5,4,1,2,0,0
2/4,3156,73,25,25,66,7,29,72,28,89,68,19,5,7,11,7,11,50,8,11,0,9,33,12,35,23,3,2,7,2,0,0
2/5,2987,74,21,21,59,2,23,52,45,87,50,20,6,9,10,8,11,61,7,18,6,22,32,5,37,8,4,5,4,1,0,1
2/6,2447,74,23,15,52,10,22,61,36,63,61,23,7,6,9,5,11,74,6,4,3,14,35,6,36,11,3,5,4,0,0,0
2/7,2841,57,18,12,42,2,15,37,28,66,31,19,3,7,15,5,11,68,12,11,1,24,31,4,18,11,3,4,2,0,0,5
2/8,2060,45,11,11,15,7,20,42,28,53,35,23,2,12,11,6,6,46,7,12,1,11,29,9,26,13,3,8,2,0,0,1
2/9,2618,31,11,3,41,3,22,32,24,40,41,19,1,4,11,1,8,51,13,15,4,12,24,2,24,5,4,4,4,0,0,1
2/10,2097,26,5,7,25,9,18,32,27,32,33,12,8,3,6,0,6,30,9,5,4,21,23,1,29,6,6,3,0,0,0,0
2/11,1638,42,10,4,14,6,19,40,11,30,34,19,5,2,5,8,3,29,13,7,5,12,28,2,18,6,4,0,2,0,0,0
2/12,13797,22,14,7,14,6,13,28,9,34,22,15,1,2,7,2,12,21,4,0,6,14,27,1,17,4,4,1,1,0,0,0
2/13,4823,20,6,5,10,7,11,28,13,15,20,12,7,0,2,1,0,24,5,4,3,18,23,2,23,1,2,3,4,0,0,0
2/14,2420,33,3,8,7,1,8,13,11,28,13,7,6,1,4,2,5,16,3,9,3,8,11,2,7,2,5,0,3,0,0,0
2/15,1843,22,5,2,5,2,7,12,7,19,3,11,1,1,2,1,0,12,1,2,0,9,13,1,20,4,1,0,2,0,0,0
2/16,1933,6,1,3,4,2,7,5,4,15,2,14,2,1,3,1,0,11,2,1,0,1,9,0,12,4,4,0,2,0,0,0
2/17,1807,6,6,2,1,1,2,3,2,11,1,13,1,1,2,0,1,9,0,4,0,1,3,0,7,0,1,1,1,0,0,2
