Date,ChinaCases,ChinaDeaths,sina,RTHK,AppleNews,ChinaTimes,Ptt_Gossiping,Ptt_nCoV2019,TaiwanCases,TaiwanDeaths
 1/26,1988,56,21,0,65,1,714,58,3,0
 1/27,2775,81,18,0,54,0,567,86,5,0
 1/28,4528,106,28,0,95,0,870,118,7,0
 1/29,5994,132,9,2,96,0,619,81,8,0
 1/30,7734,170,14,1,154,0,640,87,8,0
 1/31,9714,213,2,0,162,0,675,86,9,0
 2/01,11809,259,5,0,88,2,670,67,10,0
 2/02,14399,304,13,0,108,1,943,66,10,0
 2/03,17211,361,12,1,117,2,1107,69,10,0
 2/04,20448,426,12,2,140,1,1003,98,10,0
 2/05,24320,492,15,0,135,0,687,104,11,0
 2/06,28047,564,12,1,135,0,824,98,11,0
 2/07,31207,637,4,2,124,0,811,111,16,0
 2/08,34625,723,0,0,65,0,605,112,17,0
 2/09,37232,812,13,0,67,0,527,87,18,0
 2/10,40206,909,7,0,92,87,554,93,18,0
 2/11,42696,1017,18,0,83,149,394,89,18,0
 2/12,44724,1114,10,0,82,131,295,81,18,0
 2/13,59865,1368,10,0,85,128,539,83,18,0
 2/14,64021,1381,1,0,89,112,453,108,18,0
 2/15,66559,1524,5,0,52,80,305,104,18,0
 2/16,68566,1666,6,0,54,86,390,155,18,0
 2/17,70618,1771,8,0,86,114,285,125,20,1
 2/18,72508,1869,8,0,91,138,334,124,22,1
 2/19,74258,2008,7,0,75,121,356,107,22,1
 2/20,74652,2120,12,0,94,128,381,147,24,1
 2/21,75543,2238,2,0,81,106,303,124,24,1
 2/22,76369,2347,1,0,52,68,302,136,26,1
 2/23,77016,2445,7,0,55,83,287,167,26,1
 2/24,77234,2595,6,0,85,111,289,127,28,1
 2/25,77749,2665,6,0,78,148,317,132,30,1
 2/26,78159,2717,6,0,87,122,273,129,31,1
 2/27,78598,2746,5,0,101,144,260,145,32,1
 2/28,78927,2790,7,0,73,83,262,150,34,1
 2/29,79355,2837,0,0,59,73,316,160,39,1
 3/01,79929,2872,4,0,49,79,241,145,40,1
 3/02,80134,2914,3,0,81,128,267,90,40,1
 3/03,80261,2946,6,0,64,103,239,126,41,1
 3/04,80380,2983,4,0,80,118,231,101,42,1
 3/05,80497,3014,7,0,74,105,252,103,44,1
 3/06,80667,3044,5,0,68,98,259,121,44,1
 3/07,80768,3072,0,0,46,58,217,115,45,1
 3/08,80814,3099,1,0,57,74,198,127,45,1
 3/09,80859,3122,4,0,59,94,224,132,45,1
 3/10,80879,3139,4,0,70,105,265,125,47,1
 3/11,80908,3161,3,0,73,109,193,135,48,1
 3/12,80932,3172,4,0,72,105,310,143,48,1
 3/13,80954,3179,0,2,58,95,285,149,49,1
 3/14,80973,3194,0,0,54,67,228,158,53,1
 3/15,80995,3203,6,0,52,60,183,214,59,1
 3/16,81020,3216,1,0,71,92,204,217,59,1
 3/17,81063,3225,6,0,81,131,229,203,67,1
 3/18,81086,3241,2,1,86,115,314,179,77,1
 3/19,81130,3249,1,0,85,109,296,185,108,1
 3/20,81229,3253,0,0,79,95,251,172,108,1
 3/21,81281,3259,2,0,50,60,235,180,135,2
 3/22,81346,3265,8,0,44,54,250,23,153,2
 3/23,81484,3274,2,0,53,80,245,56,165,2
 3/24,81553,3281,3,0,66,91,207,47,195,2
 3/25,81631,3285,4,0,61,94,237,41,216,2
 3/26,81733,3291,6,0,52,107,246,45,235,2
 3/27,81827,3296,2,0,43,63,264,56,252,2
 3/28,81946,3299,0,0,51,47,214,45,267,2
 3/29,82059,3304,4,0,41,53,182,57,283,2
 3/30,82157,3306,5,0,42,69,279,56,306,5
 3/31,82241,3309,6,0,43,92,304,46,306,5
 4/01,82295,3310,6,0,71,83,365,53,322,5
 4/02,82395,3316,2,0,47,61,329,56,339,5
 4/03,82465,3326,1,0,44,40,344,51,339,5
 4/04,82527,3330,5,0,35,61,302,57,355,5
 4/05,82575,3333,5,0,38,53,330,51,363,5
 4/06,82642,3335,7,0,39,81,320,52,363,5
 4/07,82698,3335,7,0,47,67,247,54,373,5
 4/08,82784,3337,1,0,46,68,345,50,376,5
 4/09,82870,3339,0,0,41,47,228,59,379,5
 4/10,82925,3340,3,0,30,53,265,49,380,5
 4/11,83004,3343,1,0,41,34,231,50,380,5
 4/12,83097,3343,4,0,26,35,277,47,385,6
 4/13,83209,3345,2,0,30,55,341,47,388,6
 4/14,83303,3345,3,0,48,56,213,54,393,6
 4/15,83352,3346,0,0,32,38,181,46,395,6
 4/16,83402,3346,0,0,28,42,243,60,395,6
 4/17,83754,4636,0,0,33,43,252,48,395,6
 4/18,83785,4636,0,0,37,39,238,58,395,6
 4/19,83803,4636,3,0,24,39,220,53,398,6
 4/20,83817,4636,4,0,24,48,181,53,420,6
 4/21,83849,4636,3,0,30,48,127,43,422,6
 4/22,83864,4636,1,0,25,36,128,41,425,6
 4/23,83876,4636,1,0,26,41,169,59,426,6
 4/24,83884,4636,3,0,25,34,143,49,427,6
 4/25,83899,4636,2,0,28,27,121,40,428,6
 4/26,83909,4636,4,0,28,21,94,36,429,6
 4/27,83912,4637,0,0,20,28,83,37,429,6
 4/28,83938,4637,0,0,23,39,103,39,429,6
 4/29,83940,4637,2,0,19,25,89,36,429,6
 4/30,83944,4637,0,0,28,44,92,41,429,6
 5/01,83956,4637,1,18,16,27,61,41,429,6
 5/02,83959,4637,1,9,17,22,49,41,429,6
 5/03,83961,4637,2,21,20,13,53,36,432,6
 5/04,83964,4637,0,13,18,32,57,38,436,6
 5/05,83966,4637,2,24,23,38,97,41,438,6
 5/06,83968,4637,2,26,19,31,83,42,438,6
 5/07,83970,4637,1,31,22,34,81,32,439,6
 5/08,83976,4637,0,19,17,25,104,32,440,6
 5/09,83976,4637,0,20,25,18,58,28,440,6
 5/10,83991,4637,4,13,11,13,47,33,440,6
 5/11,84010,4637,5,23,15,24,129,35,440,6
 5/12,84011,4637,1,18,14,26,54,37,440,7
 5/13,84018,4637,1,19,19,20,39,34,440,7
 5/14,84024,4637,0,8,18,14,30,32,440,7
 5/15,84029,4637,1,11,13,18,30,39,440,7
 5/16,84038,4637,2,5,11,7,45,25,440,7
 5/17,84044,4638,2,6,14,14,47,20,440,7
 5/18,84054,4638,1,11,18,16,36,29,440,7
 5/19,84063,4638,2,11,11,27,45,25,440,7
 5/20,84065,4638,1,12,14,16,31,27,440,7
 5/21,84067,4638,2,5,14,20,35,32,441,7
 5/22,84079,4638,0,6,11,17,20,18,441,7
 5/23,84081,4638,0,7,6,9,32,23,441,7
 5/24,84084,4638,0,2,8,7,43,31,441,7
 5/25,84095,4638,3,10,13,13,40,22,441,7
 5/26,84102,4638,1,9,16,13,50,28,441,7
 5/27,84103,4638,1,4,13,10,55,33,441,7
 5/28,84106,4638,2,10,5,13,23,25,441,7
 5/29,84106,4638,0,6,7,9,35,26,441,7
 5/30,84123,4638,0,5,8,4,23,21,442,7
 5/31,84128,4638,2,9,5,7,30,17,442,7
